2026/09/14 16:22:08.441, 13.39, 210, 0, 46, 60.00
2026/09/14 16:22:08.473, 13.39, 210, 0, 46, 60.00
2026/09/14 16:22:08.505, 13.39, 210, 0, 46, 60.00
2026/09/14 16:22:08.536, 13.38, 210, 1, 46, 60.00
2026/09/14 16:22:08.568, 13.38, 210, 1, 46, 60.00
2026/09/14 16:22:08.599, 13.38, 210, 1, 46, 60.00
2026/09/14 16:22:08.630, 13.42, 210, 1, 46, 60.00
2026/09/14 16:22:08.661, 13.42, 210, 1, 46, 60.00
2026/09/14 16:22:08.692, 13.42, 210, 1, 46, 60.00
2026/09/14 16:22:08.723, 13.38, 210, 1, 46, 60.00
2026/09/14 16:22:08.754, 13.38, 210, 1, 46, 60.00
2026/09/14 16:22:08.784, 13.38, 210, 1, 46, 60.00
2026/09/14 16:22:08.816, 13.40, 210, 1, 46, 60.00
2026/09/14 16:22:08.846, 13.40, 210, 1, 46, 60.00
2026/09/14 16:22:08.878, 13.40, 210, 1, 46, 60.00
2026/09/14 16:22:08.909, 13.39, 210, 1, 46, 60.00
2026/09/14 16:22:08.940, 13.39, 210, 0, 46, 60.00
2026/09/14 16:22:08.971, 13.39, 210, 0, 46, 60.00
2026/09/14 16:22:09.002, 13.39, 210, 0, 46, 60.00
2026/09/14 16:22:09.034, 13.42, 210, 0, 46, 60.00
2026/09/14 16:22:09.065, 13.42, 210, 0, 46, 60.00
2026/09/14 16:22:09.097, 13.42, 210, 0, 46, 60.00
2026/09/14 16:22:09.127, 13.39, 210, 1, 46, 60.00
2026/09/14 16:22:09.158, 13.39, 210, 1, 46, 60.00
2026/09/14 16:22:09.189, 13.39, 210, 1, 46, 60.00
2026/09/14 16:22:09.221, 13.39, 210, 1, 46, 60.00
2026/09/14 16:22:09.252, 13.39, 210, 1, 46, 60.00
2026/09/14 16:22:09.283, 13.39, 210, 1, 46, 60.00
2026/09/14 16:22:09.313, 13.41, 210, 0, 46, 60.00
2026/09/14 16:22:09.344, 13.41, 210, 0, 46, 60.00
2026/09/14 16:22:09.375, 13.41, 210, 0, 46, 60.00
2026/09/14 16:22:09.407, 13.41, 210, 0, 46, 60.00
2026/09/14 16:22:09.438, 13.40, 210, 0, 46, 60.00
2026/09/14 16:22:09.455, 13.40, 210, 0, 46, 60.00
2026/09/14 16:22:09.487, 13.40, 210, 0, 46, 60.00
2026/09/14 16:22:09.518, 13.43, 210, 1, 46, 60.00
2026/09/14 16:22:09.550, 13.43, 210, 1, 46, 60.00
2026/09/14 16:22:09.580, 13.43, 210, 1, 46, 60.00
2026/09/14 16:22:09.611, 13.42, 210, 1, 46, 60.00
2026/09/14 16:22:09.642, 13.42, 210, 1, 46, 60.00
2026/09/14 16:22:09.673, 13.42, 210, 1, 46, 60.00
2026/09/14 16:22:09.705, 13.41, 210, 1, 46, 60.00
2026/09/14 16:22:09.735, 13.41, 210, 2, 46, 60.00
2026/09/14 16:22:09.766, 13.41, 210, 2, 46, 60.00
2026/09/14 16:22:09.798, 13.41, 210, 2, 46, 60.00
2026/09/14 16:22:09.829, 13.42, 210, 2, 46, 60.00
2026/09/14 16:22:09.846, 13.42, 210, 2, 46, 60.00
2026/09/14 16:22:09.876, 13.42, 210, 2, 46, 60.00
2026/09/14 16:22:09.907, 13.42, 210, 2, 46, 60.00
2026/09/14 16:22:09.938, 13.36, 210, 0, 46, 60.00
